index,oldB cell,oldT cell,oldmacrophage,oldnatural killer cell,youngB cell,youngT cell,youngmacrophage,youngnatural killer cell
Pigh,0.5270619244614728,0.6306874869105622,0.5031507309894636,0.35835993096577223,0.3965645819681053,0.39739740321550265,0.27698023767426894,0.17119558465136733
Vti1b,3.6454438800155673,3.729452181075519,4.44907574817777,5.858161029290438,3.154513994208608,3.0414876556934054,3.2976094482247698,3.3332019293083914
Rdh11,0.6948395291694923,0.533173783969078,0.554910598207166,0.8618914376091225,0.5973139810767918,0.5732833647037848,0.48624008367030136,0.5261012363559296
Rdh12,2.946568765703723,0.5945143045442555,1.002604631487029,0.134742940717517,2.0290895091916306,0.4958189648309789,0.888411132037094,1.232595164407831e-30
Zfyve26,0.35247495481075103,0.22498067555534176,0.4656119919054532,0.13060735922953212,0.3746614597880115,0.23035399142571075,0.3868917738711507,0.22052119486457816
Zfp36l1,7.815406508759802,6.937368463043944,6.306392608406096,5.445935765423867,8.15299017563026,6.521622880798088,7.271131880035039,5.780885092913467
2310015A10Rik,1.1297364994417114,0.8292511981192794,0.8664152375454712,1.5792780998048808,0.9482282768637806,0.7200835143287904,0.9437064624238538,0.7060751031404512
Actn1,1.1301545149761971,2.9795744132687036,4.122225369126343,0.32556488155820007,0.28180498415662286,5.0659941034944405,2.4683261078873855,0.32205312224730726
Dcaf5,0.7006147127569884,1.1129074611874301,0.6547001576136309,2.1241187715215504,0.5394875595859826,0.8689685861247745,0.5629906337952748,0.38356437937972754
Exd2,0.440534907960647,0.5134455099864439,0.338824909201927,0.45915163281938715,0.35372991112021795,0.4941964353704312,0.28940573177518686,0.7304592805563653
Erh,7.280014927213507,7.60165188556667,7.223101850782066,7.483926482194241,7.117204744869014,7.317423985949409,7.50209627374485,7.461308861324811
Slc39a9,0.44015742092657023,0.47215333738017745,0.4044006532761081,1.0286716981202446,0.4152557741859383,0.355919019257404,0.3296441360400937,0.355144467116706
Susd6,1.252919363260589,2.098364548871229,2.00650845518091,1.359677604892887,1.1576720192286254,1.5721404727934831,2.1320715527933323,1.9972743141264673
Gm26545,1.0876904039517408,1.5304653883986385,0.8254530272241215,0.327209771308304,0.8179324813483354,0.7932795544756551,0.23074820142221483,1.14973968447753
Srsf5,6.131709261701902,6.615241717487394,6.576475511861334,4.218278173673974,6.8317717171742265,6.260652330931061,6.766407106912683,5.989045648268655
Cox16,1.4037820503124505,1.3728212415921042,1.4211943987096853,1.579494047929706,1.3348598000993197,1.5704839086748543,1.583915095672697,2.0414207076157105
Synj2bp,2.2379572334528257,2.548193441417592,1.9209943941257837,4.382464164460365,2.1604420400414237,2.6448232262851237,2.33274346920531,2.913686928219141
Med6,1.0469628890406655,0.8645291649733569,1.2482553410506707,1.1058520247055288,0.7084846047562219,0.6225614402080416,0.6287661165464541,1.1748331254772861
Sipa1l1,0.7001896950598099,0.7694479285414517,1.0894895335988635,0.8026737574423373,0.6001743397661543,0.9198493740568783,0.43497570656080176,0.6144904241276913
Dcaf4,0.6196146973564943,0.6406180667505097,0.506508907391927,0.6663310340221842,0.5056479851461185,0.5301756818646454,0.7202315875308964,0.36178809835126663
Rbm25,7.1124227460477,7.302820331231645,6.2937768066837805,6.363707709084798,7.309397385646094,7.210033826101668,6.487173585974801,6.562828989456215
Psen1,1.5211334483314871,1.697415423748862,2.459648344754289,2.34618834267331,1.2117477143679758,1.292631633104453,1.8126185430099127,2.274707449631227
Numb,0.3320960361369657,0.46608792081941386,0.7691966836704587,0.4912574423859072,0.24194692732892797,0.4324175386911436,0.3789985893520881,0.5398258951027205
2410016O06Rik,0.7996935087925728,1.341574929428765,0.8744958415126344,2.1260350251402618,0.5717353760971092,1.017465541137097,0.7334121194054918,0.75863251977889
Acot2,0.8803067211368772,0.975518303156,0.495355932229951,0.8912522960116933,0.7590262594742647,0.9550303045209992,0.5059430669815284,0.44762252239806083
Elmsan1,1.030897772325171,0.8444476927569827,1.0721529925729378,0.8650174526849499,1.1202869107171431,0.9442092682337279,1.417347886620657,0.8546010058654484
