index,B cell,T cell,macrophage,natural killer cell
Rab33b,0.8478034673596268,0.8652904786614141,0.9349360323026331,0.9084579453311673
Setd7,0.8010679856041526,0.90581971365787,0.9081922249398622,0.9416784177527919
Mgst2,0.8652856324805034,1.4239628976418672,0.9952767240612151,0.8740765954317052
Foxo1,1.741747322024852,1.8905028271041673,1.1074490710535605,1.3741511188447102
Cog6,0.811681815928029,0.797984033392238,0.8225366288216137,0.8133056256123101
Nhlrc3,0.8193430829763064,0.8085918617828397,0.8349744495906662,0.8470560200195693
Proser1,0.9195202584530939,0.9315250990764017,1.0152000725308536,1.0551292319188197
Ufm1,1.3222550239267041,1.293280107453243,1.7436046517690245,1.4470293559708964
Supt20,1.412812880630827,1.383504608967451,1.3639559801150594,1.4734419137226233
Exosc8,1.3656064285605807,1.5619635711392712,1.47598628241674,1.4296368140525486
Alg5,1.2368406470324858,1.4013575675209282,1.3697516969459644,1.617905829311695
Rfxap,0.9921179651643608,1.1070090598891622,1.10871869924842,1.1189219716230245
Spg20,0.7825356086461253,0.8049814090148933,0.7974565645771152,0.8396174507711089
Commd2,1.269069130971956,1.2929813104007675,1.4504292429133983,1.3931100799246738
Rnf13,1.3765388916026584,1.0680240381966761,1.7024048370520635,1.4529869128272672
Pfn2,0.7326516689086836,0.8055753387738523,0.7645139005492193,0.7080807311870608
Tsc22d2,1.276457407139941,1.1344834114526672,1.1552988324014886,1.1266904960209618
Serp1,5.128691736147671,2.002839103393226,3.9637226149992193,2.184314116445773
Eif2a,1.3954033927073868,1.4272662649666115,1.8457842522185035,1.3707515656397113
Selt,1.9409311825534645,1.6399329100586015,2.3164745745315254,1.6911810982718083
Siah2,1.380759829582218,1.1120293503272953,1.2857279197534168,1.1014004647318083
Gpr171,1.515979545908971,1.2171019588377319,0.9581751134984838,2.2238263586692466
Mbnl1,3.5041666287373476,4.284596835680335,3.6024092469274653,4.497712717874491
Rap2b,0.8148852897599559,1.0938576627756198,1.3118246452854532,1.3446630107276742
Dhx36,1.0686994924384907,1.1420856485436577,1.0980635964524632,1.1678525572284713
Slc33a1,0.7859400222758296,0.8127708919511717,0.945633701852203,0.9118090969393257
Gmps,1.1124834977047626,1.1842059607770405,1.3281172877901875,1.2163974640480872
Ssr3,1.3746608546271044,1.377667070247136,2.0930091142805147,1.5363647708672517
Tiparp,1.0804707726496365,0.8975890098743934,1.1905345402349936,0.8501795099853942
Ccnl1,2.172328013191623,2.03502136311758,2.540120758300364,2.1739045891599345
Rsrc1,1.0680759738645627,1.1399850806389742,1.2885820676298172,1.0640675859548132
Gfm1,0.839451472174014,0.8665371478640117,0.9067405653572589,0.9002352786741173
Lxn,0.7218314815409571,0.8536551757088968,0.9446926071842032,0.7633118060447982
Mfsd1,0.968910859339631,0.9336256189732802,1.3558499808774533,1.0431526125076054
Il12a,0.916481581166183,0.6971644337752007,0.7195081577893032,0.6931471805599467
Ift80,0.7437298922491749,0.9888965172166994,0.771928628931911,0.7255702999886041
Smc4,1.5531780347736441,2.8786592459633815,1.665300200717233,1.6691620825624898
Trim59,1.1576590824433892,1.14521873619789,1.0305343132741491,0.8256738131311002
Kpna4,1.2669101882584077,1.4542004923457352,1.6140369079630836,1.4535091781670992
Ppm1l,0.8398268577454896,0.7162879093831809,0.7251101383407287,0.7295308678370593
Nmd3,1.1725954063629598,1.132294474713786,1.0782406033388172,1.1377494438480826
Pdcd10,2.053198420582393,2.1915384676927885,2.3376743067551473,2.938890669009892
Serpini1,0.9560232196084515,0.8397350987037638,0.7551994202007508,0.7998146928012791
Golim4,0.7490489931579326,0.8620176104276528,1.1023350320441243,0.9047947656446816
Ppid,1.094113635575844,1.2043037308553528,1.129170878225035,1.3056701412977774
Etfdh,0.9094137479163185,1.002032647316772,0.9812082386794643,1.045090297252802
4930579G24Rik,0.7249958638429699,0.74031934513728,0.8716643682430638,0.7454225837075652
Ctso,2.108180478990526,1.1880194037788157,1.3215673715255996,1.135419204215361
Plrg1,0.8666171620307062,0.8907776573827108,0.8685738339928023,0.9637101119701088
Tlr2,0.7720882925750466,0.7193622294811242,1.082369104307185,0.7077340976574923
